,sale_id,sale_date,brand,model,year,price_usd,quantity_sold,dealership_city
0,1,12/03/2024,Hyundai,Elantra,2018,$33024,2,Abuja
1,2,04/08/2024,Hyundai,Elantra,2023,$50741,1,Ibadan
2,3,04/11/2024,Toyota,Corolla,2018,$29328,2,Ibadan
3,4,22/04/2024,Toyota,RAV4,2019,$57590,5,Kano
4,5,04/08/2024,BMW,X3,2020,$15425,2,Enugu
5,6,17/02/2024,Ford,Fusion,2019,$29110,3,Lagos
6,7,23/01/2024,BMW,3 Series,2020,$37541,5,Port Harcourt
7,8,09/10/2024,Hyundai,Sonata,2022,$23180,4,Lagos
8,9,26/12/2024,Ford,Escape,2022,$38700,5,Abuja
9,10,29/04/2024,Toyota,Corolla,2023,$29935,3,Lagos
10,11,05/07/2024,Kia,Rio,2021,$33217,4,Enugu
11,12,15/12/2024,Honda,Accord,2020,$28730,3,Enugu
12,13,05/05/2024,Hyundai,Elantra,2022,$56613,2,Ibadan
13,14,16/12/2024,Honda,Accord,2021,"₦32,691.00",5,Abuja
14,15,17/05/2024,Ford,Focus,2019,"₦17,103.00",3,Kano
15,16,12/09/2024,Toyota,Corolla,2022,"₦35,622.00",2,Enugu
16,17,06/05/2024,BMW,X3,2021,"₦24,363.00",3,Abuja
17,18,25/10/2024,Hyundai,Tucson,2022,"₦32,219.00",5,Kano
18,19,16/02/2024,BMW,5 Series,2019,"₦24,065.00",5,Kano
19,20,22/03/2024,Kia,Rio,2024,"₦22,185.00",2,Enugu
20,21,14/07/2024,Kia,Optima,2021,"₦54,086.00",1,Kano
21,22,14/12/2024,Mercedes,E-Class,2022,"₦31,476.00",5,Lagos
22,23,23/06/2024,Hyundai,Elantra,2023,"₦50,190.00",3,Enugu
23,24,14/05/2024,Toyota,Camry,2021,"₦25,365.00",4,Lagos
24,25,16/09/2024,Mercedes,C-Class,2022,"₦21,973.00",3,Enugu
25,26,28/09/2024,Mercedes,C-Class,2019,"₦39,504.00",2,Ibadan
26,27,04/07/2024,Toyota,RAV4,2020,"₦47,021.00",1,Lagos
27,28,10/02/2024,Kia,Sportage,2019,"₦18,796.00",2,Ibadan
